year,month,date,site,diver,transect,t.area,Profundidad,Categoría.profundidad,Código.sp.,Especie,Total,a,b,GF..Quimbayo.Roff.,IUCN,biomass,biomass_g.m2,biomass_kg.ha,biomass_tn.ha,density,size,abd
2014,July,7/22/2014,Playa Blanca,A. Beita,1,50,3.5,Somero,cox,Cirrhitichthys oxycephalus,1,0.0332,3,Invertebrivores,NE,0.51875,0.010375,0.10375,0.00010375,0.02,2.5,1
2014,July,7/22/2014,Playa Blanca,A. Beita,1,50,3.5,Somero,cpu,Canthigaster punctatissima,2,0.0197,2.9174,Invertebrivores,LC,7.322090225,0.146441805,1.464418045,0.001464418,0.04,2.5,1
2014,July,7/22/2014,Playa Blanca,A. Beita,2,50,3.5,Somero,cpu,Canthigaster punctatissima,2,0.0197,2.9174,Invertebrivores,LC,0.570750635,0.011415013,0.114150127,0.00011415,0.04,2.5,2
2014,July,7/22/2014,Playa Blanca,A. Beita,3,50,3.5,Somero,sgh,Scarus ghobban,40,0.0233,2.919,Macroalgae feeders,LC,13.52081273,0.270416255,2.704162546,0.002704163,0.8,2.5,40
2014,July,7/22/2014,Playa Blanca,A. Beita,3,50,3.5,Somero,cpu,Canthigaster punctatissima,1,0.0197,2.9174,Invertebrivores,LC,0.285375317,0.005707506,0.057075063,5.70751E-05,0.02,2.5,1
2014,July,7/23/2014,Esmeralda,A. Beita,3,50,10,Profundo,sps,Serranus psittacinus,5,0.0193,2.8511,Piscivores,LC,1.315509753,0.026310195,0.263101951,0.000263102,0.1,2.5,5
2014,July,7/23/2014,Güiri-Güiri,A. Beita,1,50,6.6,Profundo,cat,Chromis atrilobata,100,0.00523,3.41655,Planktivores,LC,11.96970992,0.239394198,2.393941983,0.002393942,2,2.5,100
2014,July,7/23/2014,Güiri-Güiri,A. Beita,3,50,6.6,Profundo,sgh,Scarus ghobban,25,0.0233,2.919,Macroalgae feeders,LC,1409.292509,28.18585018,281.8585018,0.281858502,0.5,2.5,20
2014,July,7/23/2014,Güiri-Güiri,A. Beita,3,50,6.6,Profundo,cpu,Canthigaster punctatissima,4,0.0197,2.9174,Invertebrivores,LC,1.141501269,0.022830025,0.228300254,0.0002283,0.08,2.5,4
2014,July,7/23/2014,Palmitas,A. Beita,1,50,9,Profundo,tlu,Thalassoma lucasanum,20,0.01261,2.8783,Invertebrivores,LC,63.32584469,1.266516894,12.66516894,0.012665169,0.4,2.5,5
2014,July,7/23/2014,Palmitas,A. Beita,1,50,9,Profundo,sps,Serranus psittacinus,15,0.0193,2.8511,Piscivores,LC,3.946529258,0.078930585,0.789305852,0.000789306,0.3,2.5,15
2014,July,7/23/2014,Palmitas,A. Beita,1,50,9,Profundo,cpu,Canthigaster punctatissima,3,0.0197,2.9174,Invertebrivores,LC,0.856125952,0.017122519,0.17122519,0.000171225,0.06,2.5,3
2014,July,7/23/2014,Palmitas,A. Beita,1,50,9,Profundo,cox,Cirrhitichthys oxycephalus,2,0.0332,3,Invertebrivores,NE,1.0375,0.02075,0.2075,0.0002075,0.04,2.5,2
2014,July,7/23/2014,Palmitas,A. Beita,2,50,9,Profundo,cat,Chromis atrilobata,300,0.00523,3.41655,Planktivores,LC,35.90912975,0.718182595,7.18182595,0.007181826,6,2.5,300
2014,July,7/23/2014,Palmitas,A. Beita,2,50,9,Profundo,sps,Serranus psittacinus,16,0.0193,2.8511,Piscivores,LC,9.978295149,0.199565903,1.99565903,0.001995659,0.32,2.5,15
2014,July,7/23/2014,Palmitas,A. Beita,2,50,9,Profundo,cpu,Canthigaster punctatissima,4,0.0197,2.9174,Invertebrivores,LC,1.141501269,0.022830025,0.228300254,0.0002283,0.08,2.5,4
2014,July,7/23/2014,Palmitas,A. Beita,3,50,9,Profundo,cat,Chromis atrilobata,200,0.00523,3.41655,Planktivores,LC,23.93941983,0.478788397,4.787883967,0.004787884,4,2.5,200
2014,July,7/23/2014,Palmitas,A. Beita,3,50,9,Profundo,sps,Serranus psittacinus,17,0.0193,2.8511,Piscivores,LC,16.01006104,0.320201221,3.202012208,0.003202012,0.34,2.5,15
2014,July,7/24/2014,Pelonas,A. Beita,1,50,10,Profundo,cpu,Canthigaster punctatissima,5,0.0197,2.9174,Invertebrivores,LC,1.426876587,0.028537532,0.285375317,0.000285375,0.1,2.5,5
2014,July,7/24/2014,Pelonas,A. Beita,1,50,10,Profundo,cat,Chromis atrilobata,5,0.00523,3.41655,Planktivores,LC,0.598485496,0.01196971,0.119697099,0.000119697,0.1,2.5,5
2014,July,7/24/2014,Pelonas,A. Beita,2,50,10,Profundo,cpu,Canthigaster punctatissima,1,0.0197,2.9174,Invertebrivores,LC,0.285375317,0.005707506,0.057075063,5.70751E-05,0.02,2.5,1
2014,July,7/24/2014,Pelonas,A. Beita,3,50,10,Profundo,hdi,Halichoeres dispilus,125,0.0126,3.0673,Invertebrivores,LC,758.7931092,15.17586218,151.7586218,0.151758622,2.5,2.5,20
2014,July,7/24/2014,Pelonas,A. Beita,3,50,10,Profundo,cat,Chromis atrilobata,200,0.00523,3.41655,Planktivores,LC,23.93941983,0.478788397,4.787883967,0.004787884,4,2.5,200
2014,July,7/24/2014,Pelonas,A. Beita,3,50,10,Profundo,cpu,Canthigaster punctatissima,2,0.0197,2.9174,Invertebrivores,LC,0.570750635,0.011415013,0.114150127,0.00011415,0.04,2.5,2
2015,February,2/18/2015,Palmitas,Juan Carlos Azofeifa,1,50,4.6,Somero,sps,Serranus psittacinus,5,0.0193,2.8511,Piscivores,LC,24.39016551,0.48780331,4.878033103,0.004878033,0.1,2.5,1
2015,February,2/18/2015,Palmitas,Juan Carlos Azofeifa,1,50,4.6,Somero,cpu,Canthigaster punctatissima,1,0.0197,2.9174,Invertebrivores,LC,0.285375317,0.005707506,0.057075063,5.70751E-05,0.02,2.5,1
2015,February,2/18/2015,Palmitas,Juan Carlos Azofeifa,2,50,4.6,Somero,sps,Serranus psittacinus,4,0.0193,2.8511,Piscivores,LC,18.35839962,0.367167992,3.671679925,0.00367168,0.08,2.5,1
2015,February,2/18/2015,Palmitas,Juan Carlos Azofeifa,2,50,4.6,Somero,tlu,Thalassoma lucasanum,33,0.01261,2.8783,Invertebrivores,LC,111.4592451,2.229184901,22.29184901,0.022291849,0.66,2.5,10
2015,February,2/18/2015,Palmitas,Juan Carlos Azofeifa,2,50,4.6,Somero,cpu,Canthigaster punctatissima,2,0.0197,2.9174,Invertebrivores,LC,0.570750635,0.011415013,0.114150127,0.00011415,0.04,2.5,2
2015,February,2/18/2015,Palmitas,Juan Carlos Azofeifa,2,50,4.6,Somero,sac,Stegastes acapulcoensis,3,0.0349,2.9109,Detritivores,LC,25.11027432,0.502205486,5.022054864,0.005022055,0.06,2.5,1
2015,February,2/18/2015,Palmitas,Juan Carlos Azofeifa,3,50,4.6,Somero,sgh,Scarus ghobban,3,0.0233,2.919,Macroalgae feeders,LC,9.025526791,0.180510536,1.805105358,0.001805105,0.06,2.5,2
2015,February,2/18/2015,Palmitas,Juan Carlos Azofeifa,3,50,4.6,Somero,cat,Chromis atrilobata,100,0.00523,3.41655,Planktivores,LC,11.96970992,0.239394198,2.393941983,0.002393942,2,2.5,100
2015,February,2/18/2015,Palmitas,Juan Carlos Azofeifa,3,50,4.6,Somero,tlu,Thalassoma lucasanum,31,0.01261,2.8783,Invertebrivores,LC,9.450192317,0.189003846,1.890038463,0.001890038,0.62,2.5,30
2015,February,2/18/2015,Palmitas,Juan Carlos Azofeifa,3,50,4.6,Somero,hdi,Halichoeres dispilus,1,0.0126,3.0673,Invertebrivores,LC,0.209397713,0.004187954,0.041879543,4.18795E-05,0.02,2.5,1
2015,February,2/18/2015,Palmitas,Juan Carlos Azofeifa,3,50,4.6,Somero,sac,Stegastes acapulcoensis,8,0.0349,2.9109,Detritivores,LC,86.629557,1.73259114,17.3259114,0.017325911,0.16,2.5,1
2015,February,2/18/2015,Playa Blanca,Juan Carlos Azofeifa,1,50,,Somero,tlu,Thalassoma lucasanum,160,0.01261,2.8783,Invertebrivores,LC,267.4026219,5.348052438,53.48052438,0.053480524,3.2,2.5,100
2015,February,2/18/2015,Playa Blanca,Juan Carlos Azofeifa,1,50,,Somero,sgh,Scarus ghobban,90,0.0233,2.919,Macroalgae feeders,LC,30.42182864,0.608436573,6.084365729,0.006084366,1.8,2.5,90
2015,February,2/18/2015,Playa Blanca,Juan Carlos Azofeifa,1,50,,Somero,cpu,Canthigaster punctatissima,1,0.0197,2.9174,Invertebrivores,LC,0.285375317,0.005707506,0.057075063,5.70751E-05,0.02,2.5,1
2015,February,2/18/2015,Playa Blanca,Juan Carlos Azofeifa,2,50,,Somero,sgh,Scarus ghobban,10,0.0233,2.919,Macroalgae feeders,LC,3.380203183,0.067604064,0.676040637,0.000676041,0.2,2.5,10
2015,February,2/19/2015,Punta Cacique,Juan Carlos Azofeifa,1,50,?,,hdi,Halichoeres dispilus,9,0.0126,3.0673,Invertebrivores,LC,19.51917997,0.390383599,3.903835993,0.003903836,0.18,2.5,6
2015,February,2/19/2015,Punta Cacique,Juan Carlos Azofeifa,1,50,?,,sps,Serranus psittacinus,6,0.0193,2.8511,Piscivores,LC,30.42193141,0.608438628,6.084386281,0.006084386,0.12,2.5,1
2015,February,2/19/2015,Punta Cacique,Juan Carlos Azofeifa,2,50,?,,cpu,Canthigaster punctatissima,1,0.0197,2.9174,Invertebrivores,LC,0.285375317,0.005707506,0.057075063,5.70751E-05,0.02,2.5,1
2015,February,2/19/2015,Punta Cacique,Juan Carlos Azofeifa,2,50,?,,sps,Serranus psittacinus,7,0.0193,2.8511,Piscivores,LC,30.68503336,0.613700667,6.137006671,0.006137007,0.14,2.5,2
2015,February,2/19/2015,Punta Cacique,Juan Carlos Azofeifa,2,50,?,,hdi,Halichoeres dispilus,3,0.0126,3.0673,Invertebrivores,LC,6.506393322,0.130127866,1.301278664,0.001301279,0.06,2.5,2
2015,February,2/19/2015,Punta Cacique,Juan Carlos Azofeifa,2,50,?,,paz,Plagiotremus azaleus,1,0.0046,3.1388,Piscivores,LC,0.081622883,0.001632458,0.016324577,1.63246E-05,0.02,2.5,1
