Área de conservación,Localidad,Sitio,Sitio (otro nombre),Sitio+Período,Buzo,Tipo muestreo,Transecto (cod.campo),Transecto (codSitio/Fecha),Transecto (cod.Continuo),Área transecto (m),Fecha,Año,Período,Digitador,Fecha digitación,Profundidad,Categoría profundidad,Visibilidad,Hora inicio,Hora Final,Tiempo,Tiempo fina (min),Código sp.,Especie,Total,2.5,7.5,12.5,17.5,25,35,45,55,65,75,85,95,112.5,137.5,162.5,187.5,225,275,325,700,a,b,Biomasa,Biomasa (g/m2),Biomasa (Kg/Ha),Biomasa (tn/ha),CPUE (individuos/min),Densidad,NT (Fishbase),GF abrev. (Quimbayo/Roff),GF (Quimbayo/Roff),IUCN
ACT,Bahía Culebra,Güiri-Güiri,Güiri-Güiri,Guiri 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,26/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,6.09,,4.57,8:50:00 a. m.,9:38:00 a. m.,12:48:00 a. m.,48,cpu,Canthigaster punctatissima,7,,6,,,,1,,,,,,,,,,,,,,,0.0197,2.9174,671.9154256,#DIV/0!,#DIV/0!,#DIV/0!,0.145833333,Buceo errante,3,IN,Invertebrivores,LC
ACT,Bahía Culebra,Güiri-Güiri,Güiri-Güiri,Guiri 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,26/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,6.09,,4.57,8:50:00 a. m.,9:38:00 a. m.,12:48:00 a. m.,48,lno,Lutjanus novemfasciatus,1,,,,,,1,,,,,,,,,,,,,,,0.0145,3,621.6875,#DIV/0!,#DIV/0!,#DIV/0!,0.020833333,Buceo errante,4,PS,Piscivores,LC
ACT,Bahía Culebra,Güiri-Güiri,Güiri-Güiri,Guiri 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,26/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,6.09,,4.57,8:50:00 a. m.,9:38:00 a. m.,12:48:00 a. m.,48,ost,Ophioblennius steindachneri,1,,1,,,,,,,,,,,,,,,,,,,0.0324,2.379,3.911251618,#DIV/0!,#DIV/0!,#DIV/0!,0.020833333,Buceo errante,2.7,HD,Detritivores,LC
ACT,Bahía Culebra,Güiri-Güiri,Güiri-Güiri,Guiri 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,26/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,6.09,,4.57,8:50:00 a. m.,9:38:00 a. m.,12:48:00 a. m.,48,rbi,Rypticus bicolor,1,,,,1,,,,,,,,,,,,,,,,,0.0152,3.0063,82.9447445,#DIV/0!,#DIV/0!,#DIV/0!,0.020833333,Buceo errante,4,PS,Piscivores,LC
ACT,Bahía Culebra,Güiri-Güiri,Güiri-Güiri,Guiri 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,26/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,6.09,,4.57,8:50:00 a. m.,9:38:00 a. m.,12:48:00 a. m.,48,sps,Serranus psittacinus,9,,7,1,1,,,,,,,,,,,,,,,,,0.0193,2.8511,135.6453812,#DIV/0!,#DIV/0!,#DIV/0!,0.1875,Buceo errante,3.6,PS,Piscivores,LC
ACT,Bahía Culebra,Güiri-Güiri,Güiri-Güiri,Guiri 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,26/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,6.09,,4.57,8:50:00 a. m.,9:38:00 a. m.,12:48:00 a. m.,48,slac,Synodus lacertinus,1,,,1,,,,,,,,,,,,,,,,,,0.0065,2.99,12.37867884,#DIV/0!,#DIV/0!,#DIV/0!,0.020833333,Buceo errante,4.2,PS,Piscivores,LC
ACT,Bahía Culebra,Güiri-Güiri,Güiri-Güiri,Guiri 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,26/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,6.09,,4.57,8:50:00 a. m.,9:38:00 a. m.,12:48:00 a. m.,48,cox,Cirrhitichthys oxycephalus,2,,2,,,,,,,,,,,,,,,,,,,0.0332,3,28.0125,#DIV/0!,#DIV/0!,#DIV/0!,0.041666667,Buceo errante,3.9,IN,Invertebrivores,NE
ACT,Bahía Culebra,Güiri-Güiri,Güiri-Güiri,Guiri 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,26/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,6.09,,4.57,8:50:00 a. m.,9:38:00 a. m.,12:48:00 a. m.,48,jni,Johnrandallia nigrirostris,2,,,,2,,,,,,,,,,,,,,,,,0.0256,3.0006,274.8716376,#DIV/0!,#DIV/0!,#DIV/0!,0.041666667,Buceo errante,3,IN,Invertebrivores,LC
ACT,Bahía Culebra,Güiri-Güiri,Güiri-Güiri,Guiri 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,26/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,6.09,,4.57,8:50:00 a. m.,9:38:00 a. m.,12:48:00 a. m.,48,kel,Kyphosus elegans,2,,,2,,,,,,,,,,,,,,,,,,0.0218,3.0053,86.30384631,#DIV/0!,#DIV/0!,#DIV/0!,0.041666667,Buceo errante,2.9,HM,Macroalgae feeders,LC
ACT,Bahía Culebra,Güiri-Güiri,Güiri-Güiri,Guiri 95-96,Carlos Jiménez,Buceo errante,Buceo errante,Buceo errante,,0,26/11/1995,1995,1995-1996,Carolina Salas-Moya,24/10/2014,6.09,,4.57,8:50:00 a. m.,9:38:00 a. m.,12:48:00 a. m.,48,pna,Pseudobalistes naufragium,2,,,,,,,2,,,,,,,,,,,,,,0.1297,2.6061,5277.243139,#DIV/0!,#DIV/0!,#DIV/0!,0.041666667,Buceo errante,3.8,IN,Invertebrivores,LC
