year,site,month,date,diver.bottom,transect, Crustose_algae , Sand , Basalts , Rubble , C._sertularioides , CCA , coral , Bleached_coral , Macroalgae , Other , Rhodoliths , Turf 
2013,Palmitas,13-Apr,4/24/2013,Juan José Alvarado,1,0,5.4,0,0,14.5,21,0.28,0,0,0,0,58.83
2013,Palmitas,13-Apr,4/24/2013,Juan José Alvarado,2,0,2.3,0,0,24,22,0.18,0,0.2,0,0,51.33
2013,Palmitas,13-Apr,4/24/2013,Juan José Alvarado,3,0,12,0,0,28.5,18.3,0,0,0,0,0,41.2
2013,Palmitas,13-Jun,6/27/2013,Cindy Fernández,1,0,47.33,0,0,6.48,4.8,0,0,0,0,0,41.4
2013,Palmitas,13-Jun,6/27/2013,Cindy Fernández,2,0,3.7,0,0,2.2,39.1,0,0,0,0,0,55
2013,Palmitas,13-Jun,6/27/2013,Cindy Fernández,3,0,17.9,0,0,12.8,10.1,0,0,0,0,0,59.2
2013,Palmitas,13-Nov,11/19/2013,Cindy Fernández,1,0,0.9,0,0,0.58,7.3,0.05,0,0.68,0,0,90.5
2013,Palmitas,13-Nov,11/19/2013,Cindy Fernández,2,0,10.7,0,0,0,3,0.1,0,0.03,0,0,86.18
2013,Palmitas,13-Nov,11/19/2013,Cindy Fernández,3,0,18.5,0,0,6.8,2.15,0,0,0.28,0,0,72.28
2013,Playa Blanca,13-Apr,4/24/2013,Juan José Alvarado,1,0,16.3,0,0,15.7,6.1,0,0,0,0,0,61.9
2013,Playa Blanca,13-Apr,4/24/2013,Juan José Alvarado,2,0,14.7,0,0,4,3,0,0,0,0,0,78.3
2013,Playa Blanca,13-Apr,4/24/2013,Juan José Alvarado,3,0,11.9,0,0,0.9,6.2,0,0,0,0,0,81
2013,Playa Blanca,13-Jun,6/28/2013,Cindy Fernández,1,0,23.9,0,0,5.73,1.68,0,0,0,2,0,66.7
2013,Playa Blanca,13-Jun,6/28/2013,Cindy Fernández,2,0,21.4,0,0,9.6,2.5,0,0,0,1,0,65.5
2013,Playa Blanca,13-Jun,6/28/2013,Cindy Fernández,3,0,25.3,0,0,13.8,1.95,0,0,0,1.8,0,57.15
2013,Playa Blanca,13-Nov,11/22/2013,Cindy Fernández,1,0,8.6,0,6.5,54,0.25,0,0,0.05,0.2,0,30.4
2013,Playa Blanca,13-Nov,11/22/2013,Cindy Fernández,2,0,10.5,0,10.7,27.8,0.4,0,0,0.45,0.05,0,50.1
2013,Playa Blanca,13-Nov,11/22/2013,Cindy Fernández,3,0,13.7,0,11.3,0.05,0.48,0,0,0.45,0,0,74.03
2013,Punta Cacique,13-Apr,4/24/2013,Juan José Alvarado,1,0,6.3,0,0,0,18.9,0,0,0,0,0,74.8
2013,Punta Cacique,13-Apr,4/24/2013,Juan José Alvarado,2,0,17,0,0,0,22.3,0,0,0,0,0,60.7
2013,Punta Cacique,13-Jun,6/26/2013,Cindy Fernández,3,0,6.5,0,0,0,12,0,0,0,0,0,81.5
2013,Punta Cacique,13-Jun,6/26/2013,Cindy Fernández,4,0,10.2,0,0,0.2,8.7,0,0,0,0,0,80.9
2013,Punta Cacique,13-Nov,11/20/2013,Cindy Fernández,1,0,6.9,0,0,0,6.5,0,0,0,0.03,0,86.58
2013,Punta Cacique,13-Nov,11/20/2013,Cindy Fernández,2,0,13.2,0,0,0,3.4,0,0,0,0.03,0,83.38
2014,Esmeralda,14-Jul,7/23/2014,Cindy Fernández,1,0,74.13,0,0,0.33,0,0.05,0,0.15,0.55,0,24.8
2014,Esmeralda,14-Jul,7/23/2014,Cindy Fernández,2,0,92.15,0,0,0.05,0,0.05,0,0,0.05,0,7.7
2014,Esmeralda,14-Jul,7/23/2014,Cindy Fernández,3,0,89.93,0,8.5,0,0.13,0,0,0,1.45,0,0
2014,Esmeralda,14-Jul,7/23/2014,Sebastián Mena,4,0,91.68,0,0,0.78,0,0.2,0,0.13,0.13,0,7.1
2014,Esmeralda,14-Jul,7/23/2014,Sebastián Mena,5,0,93.28,0,0,0,0,0,0,0.05,6.18,0,0.5
2014,Esmeralda,14-Jul,7/23/2014,Sebastián Mena,6,0,86.83,0,8.5,0.1,0,0,0,0.03,2.05,0,2.5
2014,Güiri-Güiri,14-Apr,4/25/2014,Carolina Salas,1,0.03,0,0,0,12.2,0.33,1.35,0,0.73,2.43,0,82.95
2014,Güiri-Güiri,14-Apr,4/25/2014,Carolina Salas,2,0.28,0.05,0,0,21.08,0.95,0.23,0,1.95,1.68,0,73.8
2014,Güiri-Güiri,14-Apr,4/25/2014,Carolina Salas,3,0.08,9.7,0,0,30.1,0.85,1.4,0,1.75,0.4,0,55.73
2014,Güiri-Güiri,14-Jul,7/23/2014,Cindy Fernández,1,0,5.1,0,0,8,3.25,4,0,1.15,0.8,0,77.7
2014,Güiri-Güiri,14-Jul,7/23/2014,Cindy Fernández,2,0,1.6,0,0,6.8,2.8,1.25,0,1.23,0.28,0,86.05
2014,Güiri-Güiri,14-Jul,7/23/2014,Cindy Fernández,3,0,3,0,0,8.2,3.6,0.45,0,1.68,0.35,0,82.73
2014,Güiri-Güiri,14-Jul,7/23/2014,Sebastián Mena,4,0,2.7,0,0,15.5,0.7,2.45,0,4.4,0.1,0.5,73.65
2014,Güiri-Güiri,14-Jul,7/23/2014,Sebastián Mena,5,0,0,0,0.4,10.7,1.7,75.2,0,1.9,0,2.4,7.7
2014,Güiri-Güiri,14-Jul,7/23/2014,Sebastián Mena,6,0,0.2,0,0.6,53.4,0.1,3.6,0,19.2,0.1,0.1,22.7
2014,Palmitas,14-Apr,4/24/2014,Carolina Salas,1,0.28,6.53,0,0,3.95,2.6,0.1,0,0.25,0.43,0,85.88
2014,Palmitas,14-Apr,4/24/2014,Carolina Salas,2,0.98,4.03,0,0,31.25,2.1,0,0,1.28,0.13,0,60.25
2014,Palmitas,14-Apr,4/24/2014,Carolina Salas,3,0.08,19.7,0,0,69.33,0.9,0.1,0,0.2,0.03,0,9.68
2014,Palmitas,14-Jul,7/23/2014,Cindy Fernández,1,0,5.1,0,0,1.2,3.8,0.03,0,0.5,0.25,0,89.13
2014,Palmitas,14-Jul,7/23/2014,Cindy Fernández,2,0,17.4,0,0,6.9,1.3,0.05,0,1.08,0.3,0,72.98
2014,Palmitas,14-Jul,7/23/2014,Cindy Fernández,3,0,63.83,0,0,1.9,0.53,7.9,0,0.35,0.5,0,25
2014,Palmitas,14-Nov,11/3/2014,Cindy Fernández,1,0,10.3,0,0,4.7,1.8,0,0,1.55,0.15,0,81.5
2014,Palmitas,14-Nov,11/3/2014,Cindy Fernández,2,0,16.2,0,0,5.9,1,0.05,0,1.05,2.75,0,73.05
2014,Palmitas,14-Nov,11/3/2014,Cindy Fernández,3,0,13.9,0,0,3.8,0.43,0,0,1.2,1.4,0,79.28
2014,Pelonas,14-Jul,7/24/2014,Cindy Fernández,1,0,8.8,0,0,3.9,1.15,0.2,0,0.18,3.2,0,82.58
2014,Pelonas,14-Jul,7/24/2014,Cindy Fernández,2,0,8.3,0,0,0.45,1.18,0,0,0,12.15,0,77.93
2014,Pelonas,14-Jul,7/24/2014,Cindy Fernández,3,0,10.8,0,0,6.2,0.1,0,0,0.15,19.4,0,63.35
2014,Pelonas,14-Jul,7/24/2014,Sebastián Mena,4,0,77.58,0,0,3.45,0.9,0.05,0,2.98,0.25,0,14.8
2014,Pelonas,14-Jul,7/24/2014,Sebastián Mena,5,0,83.7,0,6.8,1.33,0.83,0,0,0.38,4.28,0,2.7
2014,Pelonas,14-Jul,7/24/2014,Sebastián Mena,6,0,67.85,0,11.3,2.7,0,0,0,0.65,12.4,0,5.1
2014,Playa Blanca,14-Apr,4/25/2014,Carolina Salas,1,0,33.58,0,0,64.68,0,0,0,0,0.75,0,1
2014,Playa Blanca,14-Apr,4/25/2014,Carolina Salas,2,0,7.4,0,42.7,45.08,0.1,0,0,0,4.13,0,0.6
2014,Playa Blanca,14-Apr,4/25/2014,Carolina Salas,3,0,26.2,0,21.6,49.95,0,0,0,0,1.35,0,0.9
2014,Playa Blanca,14-Jul,7/22/2014,Cindy Fernández,1,0,9,0,7.3,72.03,0.05,0,0,10.33,0.3,0,1
2014,Playa Blanca,14-Jul,7/22/2014,Cindy Fernández,2,0,10.1,0,5.5,7.5,0.18,0,0,0.1,0.45,0,76.18
2014,Playa Blanca,14-Jul,7/22/2014,Cindy Fernández,3,0,7.6,0,11.8,62.25,0.2,0,0,1.6,0.8,0,15.75
2014,Playa Blanca,14-Jul,7/22/2014,Sebastián Mena,4,0,6.7,0,0.9,50.28,0,0.08,0,0,0.48,0,41.58
2014,Playa Blanca,14-Jul,7/22/2014,Sebastián Mena,5,0,6.5,0,24.6,18.2,0,0,0,0,6.8,0,43.9
2014,Playa Blanca,14-Jul,7/22/2014,Sebastián Mena,6,0,6.5,0,0,76.43,0,0,0,0,0.58,0,16.5
2014,Playa Blanca,14-Nov,11/3/2014,Cindy Fernández,1,0,12.4,0,25.2,59.95,0,0,0,2.3,0.15,0,0
2014,Playa Blanca,14-Nov,11/3/2014,Cindy Fernández,2,0,11.4,0,50.35,36.35,0.2,0,0,1.4,0.3,0,0
2014,Playa Blanca,14-Nov,11/3/2014,Cindy Fernández,3,0,7.6,0,82.3,9.1,0.25,0,0,0.65,0.1,0,0
2014,Punta Cacique,14-Apr,4/24/2014,Carolina Salas,1,0,40.6,0,36.35,1.1,3.25,0,0,2.5,0,0,16.2
2014,Punta Cacique,14-Apr,4/24/2014,Carolina Salas,2,0,18.2,0,44.65,0.03,1.9,0,0,0,0,0,35.23
2014,Punta Cacique,14-Nov,11/3/2014,Cindy Fernández,1,0,39.38,0,56.1,0.33,1.5,0,0,0,2.7,0,0
2014,Punta Cacique,14-Nov,11/3/2014,Cindy Fernández,2,0,60.43,0,34.83,0.35,0.2,0,0,0,1.9,0,2.3
2014,Punta Cacique,14-Nov,11/3/2014,Cindy Fernández,3,0,63.55,0,32.1,0.6,0.05,0,0,0,3.7,0,0
2015,Esmeralda,15-Aug,8/4/2015,Carolina Salas,1,0,52.38,0,0,21.2,0.28,3.68,0,0.03,1.3,0,21.15
2015,Esmeralda,15-Aug,8/4/2015,Carolina Salas,2,0,42.95,0,0,25.9,0.35,4.25,0,0,0.13,0,26.43
2015,Esmeralda,15-Aug,8/4/2015,Carolina Salas,3,0,48.5,0,0,11.4,0.05,0.6,0,0.1,0.25,0,39.1
2015,Esmeralda,15-Aug,8/4/2015,Juan José Alvarado,4,0,29.1,0,6.1,21.5,1,0.38,0,0,0.3,0,41.63
2015,Esmeralda,15-Aug,8/4/2015,Juan José Alvarado,5,0,10.7,0,7.6,19.6,1.35,0.68,0,0,0.1,0,59.98
2015,Esmeralda,15-Aug,8/4/2015,Juan José Alvarado,6,0,5.7,0,7,29.5,1.5,1.15,0,0,0.5,0,54.65
2015,Güiri-Güiri,15-Aug,8/5/2015,Juan José Alvarado,1,0,4.8,0,0,17.4,6.9,4.7,0,1.4,0,0,64.8
2015,Güiri-Güiri,15-Aug,8/5/2015,Juan José Alvarado,2,0,4.4,0,0,14.5,4.6,1.25,0,2.8,0,0,72.45
2015,Güiri-Güiri,15-Aug,8/5/2015,Juan José Alvarado,3,0,4,0,0.9,12.8,5.6,0.3,0,1.5,0,0,74.9
2015,Palmitas,15-Feb,2/18/2015,Cindy Fernández,1,0,8.7,0,0,4.2,1.9,0,0,0.78,0,0,84.43
2015,Palmitas,15-Feb,2/18/2015,Cindy Fernández,2,0,12.6,0,0,3,1.9,0,0,1.71,0.9,0,79.89
2015,Palmitas,15-Feb,2/18/2015,Cindy Fernández,3,0,10.5,0,0,13.5,0.5,0,0,5.8,0,0,69.7
2015,Palmitas,15-Aug,8/5/2015,Juan José Alvarado,1,0,13,0,3.1,7.6,3.5,0.1,0,0,0.45,0,72.25
2015,Palmitas,15-Aug,8/5/2015,Juan José Alvarado,2,0,12.2,0,0.6,17.2,2.4,0,0,0,1.1,0,66.5
2015,Palmitas,15-Aug,8/5/2015,Juan José Alvarado,3,0,22,0,3,13.9,2.55,0,0,0,1.7,0,56.85
2015,Pelonas,15-Aug,8/6/2015,Juan José Alvarado,1,0,5.4,0,2.4,51.75,1.4,0.45,0,0.35,1.5,0,36.75
2015,Pelonas,15-Aug,8/6/2015,Juan José Alvarado,2,0,36.8,0,5.9,9.7,1.9,0.1,0,0,0.5,0,45.1
2015,Pelonas,15-Aug,8/6/2015,Juan José Alvarado,3,0,39.2,0,7,12.6,1.6,0.2,0,0,0.2,0,39.2
2015,Playa Blanca,15-Feb,2/18/2015,Cindy Fernández,1,0,10.7,0,0,40.5,0,0,0,12.5,0,0,36.3
2015,Playa Blanca,15-Feb,2/18/2015,Cindy Fernández,2,0,8.7,0,0,61.55,0.35,0,0,25.8,0,0,3.6
2015,Playa Blanca,15-Feb,2/18/2015,Cindy Fernández,3,0,9.1,0,0,2.95,0.4,0,0,77.7,0.05,0,9.8
2015,Playa Blanca,15-Aug,8/5/2015,Juan José Alvarado,1,0,8.1,0,2.2,78,0.2,0,0,0,4.2,0,7.3
2015,Playa Blanca,15-Aug,8/5/2015,Juan José Alvarado,2,0,6.5,0,1.9,81.98,0.4,0.03,0,0,1.6,0,7.6
2015,Playa Blanca,15-Aug,8/5/2015,Juan José Alvarado,3,0,9.3,0,2.9,73,0,0,0,0,11.8,0,3
2015,Punta Cacique,15-Feb,2/19/2015,Cindy Fernández,1,0,15.9,0,0,1.9,0.75,0,0,1.75,0.15,0,79.55
2015,Punta Cacique,15-Feb,2/19/2015,Cindy Fernández,2,0,15.6,0,0,0.7,0.5,0,0,0.6,0.05,0,82.55
2015,Punta Cacique,15-Feb,2/19/2015,Cindy Fernández,3,0,20.6,0,0,3.45,0.45,0,0,5.23,0,0,70.28
2015,Punta Cacique,15-Aug,8/6/2015,Juan José Alvarado,1,0,30.4,0,15.6,17.6,1.1,0,0,3.9,0.5,0,30.9
2015,Punta Cacique,15-Aug,8/6/2015,Juan José Alvarado,2,0,34.1,0,12.9,2.1,0.5,0,0,0.8,0.3,0,49.3
2015,Punta Cacique,15-Aug,8/6/2015,Juan José Alvarado,3,0,24.2,0,22.3,1.7,0.1,0,0,1.5,0,0,50.2
2016,Esmeralda,16-Apr,4/27/2016,Juan José Alvarado,4,0,6.8,0,2.3,82.6,0.3,0.05,0,0,1.85,0,6.1
2016,Esmeralda,16-Apr,4/27/2016,Juan José Alvarado,5,0,7.7,0,0.6,75.5,0.5,0.3,0,0,2.2,0,13.2
2016,Esmeralda,16-Apr,4/27/2016,Juan José Alvarado,6,0,13.1,0,1.3,66.8,0.35,0.1,0,0,1.75,0,16.6
2016,Esmeralda,16-Apr,4/27/2016,Maricruz Rojas,1,0,21,0,7.3,43.4,4,0,0,2.4,21.9,0,0
2016,Esmeralda,16-Apr,4/27/2016,Maricruz Rojas,2,0,43.2,0,3.3,32,4.3,0.2,0,2.4,14.5,0,0.1
2016,Esmeralda,16-Apr,4/27/2016,Maricruz Rojas,3,0,36.1,0,5.3,37,3.9,0.1,0,1.9,15.7,0,0
2016,Esmeralda,16-Aug,8/3/2016,Carolina Salas,1,0,20.8,0,2.95,67.73,0.63,0.85,0,2.9,3.65,0,0.5
2016,Esmeralda,16-Aug,8/3/2016,Carolina Salas,2,0,6.6,0,0.8,72.98,0.15,0,0,3.55,14.73,0,1.2
2016,Esmeralda,16-Aug,8/3/2016,Carolina Salas,3,0,20.2,0,0.3,54.45,0.33,0.25,0,0.83,22.6,0,1.05
2016,Esmeralda,16-Aug,8/3/2016,Celeste Sánchez,4,0,16.4,0,0,46.33,0.18,0.05,0,5.63,1.7,0,29.73
2016,Esmeralda,16-Aug,8/3/2016,Celeste Sánchez,5,0,1.8,0,0,5.2,3.65,0.03,0,0.28,1.43,0,87.63
2016,Esmeralda,16-Aug,8/3/2016,Celeste Sánchez,6,0,4.9,0,0,5.7,2.8,0,0,0.08,1.13,0,85.4
2016,Esmeralda,16-Nov,11/23/2016,Celeste Sánchez,1,0,22.5,0,0,64.03,0,0.05,0,0,0.63,0,12.8
2016,Esmeralda,16-Nov,11/23/2016,Celeste Sánchez,2,0,12,0,0,80.08,0,0.18,0,0,0.35,0,7.4
2016,Esmeralda,16-Nov,11/23/2016,Celeste Sánchez,3,0,5.6,0,0,70.55,0.15,0,0,0,0.03,0,23.68
2016,Güiri-Güiri,16-Feb,2/2/2016,Carolina Salas,4,0,2.2,0,0,39.4,3.05,3.4,0.4,2.6,0.55,0,48.4
2016,Güiri-Güiri,16-Feb,2/2/2016,Carolina Salas,5,0,0.3,0,0,46.88,5.7,5.2,0.75,1.58,0.7,0,38.9
2016,Güiri-Güiri,16-Feb,2/2/2016,Carolina Salas,6,0,0,0,0,45.7,1.3,1.8,1.2,2.3,0.6,0,47.1
2016,Güiri-Güiri,16-Feb,2/2/2016,Cindy Fernández,1,0,1.8,0,0,34.35,2.25,1.85,0,2.75,0.75,0,56.25
2016,Güiri-Güiri,16-Feb,2/2/2016,Cindy Fernández,2,0,0,0,0,47.85,1.4,1.1,0,1.85,0,0,47.8
2016,Güiri-Güiri,16-Feb,2/2/2016,Cindy Fernández,3,0,0,0,0,79.3,0.95,0.3,0,0.5,0.1,0,18.85
2016,Güiri-Güiri,16-Apr,4/26/2016,Juan José Alvarado,4,0,2,0,0,69.2,7.2,6.2,0,0,0,0,15.4
2016,Güiri-Güiri,16-Apr,4/26/2016,Juan José Alvarado,5,0,2.1,0,0.3,73.3,5.3,2.4,0,0,0,0,16.6
2016,Güiri-Güiri,16-Apr,4/26/2016,Juan José Alvarado,6,0,1.3,0,0.3,70.6,7,0.7,0,0,0,0,20.1
2016,Güiri-Güiri,16-Apr,4/26/2016,Maricruz Rojas,1,0,7.5,0,0,41.6,14.9,10,0,1.9,1.1,0,23
2016,Güiri-Güiri,16-Apr,4/26/2016,Maricruz Rojas,2,0,10.5,0,0,26.5,11.4,0.5,0,2.3,3.8,0.5,44.5
2016,Güiri-Güiri,16-Apr,4/26/2016,Maricruz Rojas,3,0,18.5,0,0,39,10.2,3.1,0,1,0.2,0,28
2016,Güiri-Güiri,16-Aug,8/2/2016,Carolina Salas,1,1.4,2.5,0,0,39.03,3.8,11.23,0,2,0.3,0.1,39.65
2016,Güiri-Güiri,16-Aug,8/2/2016,Carolina Salas,2,0.25,2.8,0,0,57.85,0.5,1.3,0,1.7,1.3,0.1,34.2
2016,Güiri-Güiri,16-Aug,8/2/2016,Carolina Salas,3,0.8,32.48,0,0,26.4,3.4,0.13,0,1.6,2.8,0,32.4
2016,Güiri-Güiri,16-Aug,8/2/2016,Celeste Sánchez,4,0,2.3,0,0,36.5,11.1,4,0,0.28,0.33,0,45.5
2016,Güiri-Güiri,16-Aug,8/2/2016,Celeste Sánchez,5,0,0.3,0,0,63.38,15.3,0.58,0,0.25,0.25,0,19.95
2016,Güiri-Güiri,16-Aug,8/2/2016,Celeste Sánchez,6,0,19.38,0,0,48.33,6.1,0.25,0,0.05,1.95,0,23.95
2016,Güiri-Güiri,16-Nov,11/22/2016,Celeste Sánchez,1,0.2,5.1,0,28.93,49.3,13.7,2.08,0,0.7,0,0,0
2016,Güiri-Güiri,16-Nov,11/22/2016,Celeste Sánchez,2,0.15,2.3,0,40.43,38.85,17.9,0.1,0,0.28,0,0,0
2016,Güiri-Güiri,16-Nov,11/22/2016,Celeste Sánchez,3,0.43,35.95,0,41.5,12.5,9.35,0.23,0,0.03,0.03,0,0
2016,Palmitas,16-Feb,2/2/2016,Carolina Salas,4,0,18.5,0,0,29.18,0.95,0,0,3.6,6.85,0,40.93
2016,Palmitas,16-Feb,2/2/2016,Carolina Salas,5,0,48.95,0,0,29.75,0.55,0,0,0.65,3.13,0,16.98
2016,Palmitas,16-Feb,2/2/2016,Carolina Salas,6,0.1,70.5,0,0,16.9,0.48,0.1,0,0.5,0.93,0,10.5
2016,Palmitas,16-Feb,2/2/2016,Cindy Fernández,1,0,9.5,0,0,16.55,0.55,0,0,21.3,1.2,0,50.9
2016,Palmitas,16-Feb,2/2/2016,Cindy Fernández,2,0,9.4,0,0,21.6,0.9,0.03,0,11.5,0.8,0,55.78
2016,Palmitas,16-Feb,2/2/2016,Cindy Fernández,3,0,51.65,0,0,6.5,0.55,0,0,1.35,0.43,0,39.53
2016,Palmitas,16-Apr,4/26/2016,Juan José Alvarado,4,0,7.7,0,9,64.9,1.05,0.25,0,0,0.7,0,16.4
2016,Palmitas,16-Apr,4/26/2016,Juan José Alvarado,5,0,5.2,0,2.4,74.95,0.85,0.1,0,0,0.1,0,16.4
2016,Palmitas,16-Apr,4/26/2016,Juan José Alvarado,6,0,5,0,1.9,71,1,0,0,0,3.4,0,17.7
2016,Palmitas,16-Apr,4/26/2016,Maricruz Rojas,1,0,7.9,0,1.5,67.1,2.7,0,0,14.2,5.8,0,0.8
2016,Palmitas,16-Apr,4/26/2016,Maricruz Rojas,2,0,19.1,0,0.4,47.5,10.6,0.2,0,8.4,13.5,0.2,0.1
2016,Palmitas,16-Apr,4/26/2016,Maricruz Rojas,3,0,17.7,0,1,55.4,7.3,0.1,0,5.3,11.8,1.4,0
2016,Palmitas,16-Aug,8/2/2016,Carolina Salas,1,0,16.6,0,0,61.23,0.3,0.05,0,0,7.43,0,14.4
2016,Palmitas,16-Aug,8/2/2016,Carolina Salas,2,0,11.2,0,0,72.4,0.98,0.03,0,0.2,7.9,0,7.3
2016,Palmitas,16-Aug,8/2/2016,Carolina Salas,3,0,10.7,0,0,78.48,0.6,0.03,0,0,1,0,9.2
2016,Palmitas,16-Aug,8/2/2016,Celeste Sánchez,4,0,9.8,0,0,83.5,0.28,0.05,0,0,0.68,0,5.7
2016,Palmitas,16-Aug,8/2/2016,Celeste Sánchez,5,0,35.45,0,0,58.88,0.93,0,0,0,0.35,0,4.4
2016,Palmitas,16-Aug,8/2/2016,Celeste Sánchez,6,0,32.5,0,0,19.53,3.03,5.5,0,0.1,2.85,0,36.5
2016,Palmitas,16-Nov,11/22/2016,Celeste Sánchez,1,0,17.7,0,0,78.85,0.33,0.03,0,0,1.4,0,1.7
2016,Palmitas,16-Nov,11/22/2016,Celeste Sánchez,2,0,20,0,0,75.28,0.13,0,0,0,1.3,0,3.3
2016,Palmitas,16-Nov,11/22/2016,Celeste Sánchez,3,0,52.5,0,0,41.6,0.15,0,0,0.05,0.15,0,5.55
2016,Pelonas,16-Feb,2/3/2016,Carolina Salas,4,0.03,32.98,0,0,55.7,0.8,0.48,0,1.38,0.95,0,7.7
2016,Pelonas,16-Feb,2/3/2016,Carolina Salas,5,0,8.6,0,0,82.63,1.95,0.05,0,3.98,0.9,0,1.9
2016,Pelonas,16-Feb,2/3/2016,Carolina Salas,6,0.03,13.68,0,0,79.33,0.33,0,0,2.83,0.23,0,3.6
2016,Pelonas,16-Feb,2/3/2016,Cindy Fernández,1,0,8.4,0,0,77.35,0.15,0.6,0,7.4,1.1,0,5
2016,Pelonas,16-Feb,2/3/2016,Cindy Fernández,2,0,34.3,0,0,10.1,1.7,0.15,0,1.45,0.4,0,51.9
